#Fitness:-0.417381, A: 37456.6, E: 81646, NS: 1.5901, yinf: 0.236859
#Time,Temp,Exp,Model
0,294.17,1,1
9,294.17,0.9999,1
19,294.17,0.9998,1
28,294.16,0.9996,1
38,294.16,0.9995,1
47,294.15,0.9993,1
57,294.17,0.999,1
66,294.17,0.9988,1
76,294.16,0.9986,1
85,294.17,0.9982,1
95,294.17,0.9978,1
104,294.19,0.9973,1
114,294.21,0.997,1
123,294.23,0.9965,1
133,294.26,0.9961,1
142,294.29,0.9957,1
152,294.35,0.9952,1
161,294.41,0.9948,1
171,294.49,0.9944,1
180,294.57,0.9941,1
190,294.68,0.9937,1
199,294.82,0.9934,1
209,294.96,0.993,1
218,295.14,0.9927,1
228,295.32,0.9924,1
237,295.54,0.9922,1
247,295.77,0.9918,1
256,296.05,0.9916,1
266,296.37,0.9914,1
275,296.7,0.9914,1
285,297.05,0.9912,1
294,297.43,0.9914,1
304,297.83,0.9913,1
313,298.28,0.9917,1
323,298.77,0.9915,1
332,299.3,0.9917,1
342,299.85,0.9917,1
351,300.42,0.9922,1
361,301.03,0.9922,1
370,301.69,0.9924,1
380,302.37,0.9925,1
389,303.06,0.9929,1
399,303.8,0.993,1
408,304.56,0.993,1
418,305.33,0.9931,1
427,306.15,0.9931,1
437,307,0.9933,1
446,307.86,0.9936,1
456,308.75,0.9933,1
465,309.66,0.9934,1
475,310.6,0.9935,1
484,311.56,0.9934,1
494,312.52,0.9935,1
503,313.48,0.9934,1
513,314.41,0.993,1
522,315.38,0.9929,0.999999
532,316.35,0.9925,0.999999
541,317.32,0.9922,0.999999
551,318.31,0.9917,0.999999
560,319.3,0.9916,0.999999
570,320.3,0.9912,0.999999
579,321.32,0.9909,0.999999
589,322.32,0.9903,0.999999
598,323.34,0.99,0.999999
608,324.37,0.9894,0.999999
617,325.4,0.989,0.999999
627,326.42,0.9885,0.999999
636,327.47,0.988,0.999999
646,328.51,0.9875,0.999999
655,329.55,0.987,0.999999
665,330.61,0.9865,0.999998
674,331.64,0.9859,0.999998
684,332.65,0.9853,0.999998
693,333.65,0.9846,0.999998
703,334.66,0.984,0.999998
712,335.67,0.9833,0.999998
722,336.68,0.9826,0.999998
731,337.7,0.9822,0.999998
741,338.71,0.9815,0.999997
750,339.72,0.9811,0.999997
760,340.74,0.9804,0.999997
769,341.75,0.9798,0.999997
779,342.78,0.9791,0.999997
788,343.78,0.9786,0.999996
798,344.82,0.9784,0.999996
807,345.84,0.9778,0.999996
817,346.88,0.9773,0.999996
826,347.91,0.977,0.999995
836,348.91,0.9766,0.999995
845,349.89,0.9762,0.999995
855,350.88,0.9758,0.999994
864,351.87,0.9752,0.999994
874,352.85,0.9747,0.999993
883,353.85,0.9744,0.999993
893,354.83,0.9741,0.999993
902,355.8,0.9736,0.999992
912,356.77,0.9733,0.999992
921,357.78,0.9731,0.999991
931,358.75,0.9728,0.999991
940,359.71,0.9725,0.99999
950,360.69,0.9725,0.999989
959,361.69,0.9722,0.999989
969,362.65,0.9719,0.999988
978,363.64,0.9716,0.999987
988,364.61,0.9715,0.999986
997,365.57,0.9714,0.999986
1007,366.53,0.9714,0.999985
1016,367.48,0.9712,0.999984
1026,368.42,0.9711,0.999983
1035,369.38,0.9709,0.999982
1045,370.32,0.971,0.99998
1054,371.27,0.9708,0.999979
1064,372.22,0.9707,0.999978
1073,373.17,0.9704,0.999977
1083,374.12,0.9704,0.999975
1092,375.07,0.9704,0.999974
1102,376.03,0.9703,0.999972
1111,376.96,0.9703,0.999971
1121,377.91,0.9701,0.999969
1130,378.85,0.9699,0.999967
1140,379.81,0.9699,0.999965
1149,380.74,0.9698,0.999963
1159,381.66,0.9697,0.999961
1168,382.57,0.9698,0.999959
1178,383.49,0.9696,0.999957
1187,384.41,0.9695,0.999954
1197,385.32,0.9696,0.999951
1206,386.23,0.9694,0.999949
1216,387.16,0.9693,0.999946
1225,388.07,0.9693,0.999943
1235,388.98,0.9695,0.99994
1244,389.91,0.9692,0.999936
1254,390.82,0.9693,0.999933
1263,391.75,0.9693,0.999929
1273,392.66,0.9692,0.999925
1282,393.59,0.9693,0.999921
1292,394.51,0.9695,0.999917
1301,395.44,0.9693,0.999912
1311,396.36,0.969,0.999907
1320,397.26,0.9692,0.999903
1330,398.17,0.969,0.999897
1339,399.05,0.9689,0.999892
1349,399.96,0.9688,0.999886
1358,400.86,0.9688,0.99988
1368,401.75,0.9689,0.999874
1377,402.65,0.9688,0.999867
1387,403.56,0.969,0.99986
1396,404.44,0.9689,0.999853
